product_id|product_name|car_brand|car_type|swept_volume|productive_date|price_of_distributor|price_of_purchase|price_of_retail|product_category
|欧标片(后)|奥迪|Q7(4L)|3.6FSI|2006/08-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(后)|奥迪|Q7(4L)|3.0TFSI|2011/08-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(前)|保时捷|911敞篷车(997)|3.6Turbo|2007/09-2009/12|¥390.0|¥550.0|¥1,100.0|刹车-蹄片
|欧标片(前)|奔驰|E500(W212)|5.5|2009/01-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(后)|路虎|揽胜III(LM)|5.0|2009/09-2012/08|¥376.0|¥530.0|¥1,060.0|刹车-蹄片
至底盘号:BA347976|欧标片(前)|路虎|揽胜III(LM)|5.0V84x4|2009/09-2012/08|¥370.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(前)|宝马|X6M(E71,E72)|4.4|2009/09-|¥368.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(前)|宝马|X5M(E70)|4.4|2009/09-|¥368.0|¥520.0|¥1,040.0|刹车-蹄片
|欧标片(后)|宝马|Z4(E89)|sDrive23i|2009/06-|¥258.0|¥340.0|¥680.0|刹车-蹄片
|欧标片(后)|宝马|Z4(E89)|sDrive30i|2009/06-|¥258.0|¥340.0|¥680.0|刹车-蹄片
|欧标片(后)|宝马|Z4(E89)|sDrive20i|2011/09-|¥258.0|¥340.0|¥680.0|刹车-蹄片
|欧标片(后)|宝马|Z4(E89)|sDrive28i|2011/09-|¥258.0|¥340.0|¥680.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版(LW)|3.0TD|2013/04-|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版(LW)|5.0V8|2013/04-|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版|3.0T(280KW)|2015/10-|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(前)|路虎|揽胜IV(LG)|5.0V8|2012/11-|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(前)|路虎|揽胜IV(LG)|3.0T4x4|2013/10-|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(前)|路虎|揽胜IV(LG)|3.0TD4x4|2012/8-|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(前)|路虎|揽胜III(LM)|5.0|2009/09-2012/08|¥492.0|¥690.0|¥1,380.0|刹车-蹄片
|欧标片(前)|保时捷|卡曼(987)|2.9|2009/02-2012/12|¥362.0|¥510.0|¥1,020.0|刹车-蹄片
|欧标片(前)|保时捷|博克斯特(987)|2.9|2009/06-2011/12|¥362.0|¥510.0|¥1,020.0|刹车-蹄片
|欧标片(前)|保时捷|911敞篷车(997)|3.8CarreraS|2005/04-2008/12|¥362.0|¥510.0|¥1,020.0|刹车-蹄片
|欧标片(前)|保时捷|911(997)|3.6Carrera|2004/07-2008/12|¥362.0|¥510.0|¥1,020.0|刹车-蹄片
|欧标片(后)|斯柯达|野帝(5L)|1.4TSI|2013/11-|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|斯柯达|野帝(5L)|1.8TSI|2013/11-|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|斯柯达|明锐RS|2.0TSI|2010/04-|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|大众|高尔夫(A6)|1.4TSI|2009/07-2010/10|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|大众|高尔夫(A6)|1.6|2009/11-2010/10|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|大众|高尔夫(A6)|2.0T|2009/11-|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|大众|速腾GLI|2.0TSI|2013/04-|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|大众|甲壳虫|1.2TSI|2012/09-|¥136.0|¥180.0|¥360.0|刹车-蹄片
|欧标片(后)|大众|甲壳虫|1.4TSI|2012/09-|¥136.0|¥180.0|¥360.0|刹车-蹄片
16"|全能片(前)|雪佛兰|科鲁兹|1.6|2009/04-2010/07|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|雪佛兰|科鲁兹|1.8|2009/04-2010/07|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|雪佛兰|科鲁兹|1.6T|2010/11-|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|别克|英朗 GT|1.6|2010/06-|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|别克|英朗 GT|1.6T|2010/06-|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|别克|英朗 GT|1.8|2010/06-|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|别克|英朗 XT|1.6|2010/02-|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|别克|英朗 XT|1.6T|2010/02-|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|全能片(前)|别克|英朗 XT|1.8|2010/02-|¥146.0|¥190.0|¥380.0|刹车-蹄片
16"|陶瓷片(前)|雪佛兰|科鲁兹|1.6|2009/04-2010/07|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|雪佛兰|科鲁兹|1.8|2009/04-2010/07|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|雪佛兰|科鲁兹|1.6T|2010/11-|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|别克|英朗 XT|1.6|2010/02-|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|别克|英朗 XT|1.6T|2010/02-|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|别克|英朗 XT|1.8|2010/02-|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|别克|英朗 GT|1.6|2010/06-|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|别克|英朗 GT|1.6T|2010/06-|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|别克|英朗 GT|1.8|2010/06-|¥161.0|¥210.0|¥420.0|刹车-蹄片
16"|陶瓷片(前)|雪佛兰|科鲁兹|1.6|2015/06-|¥161.0|¥210.0|¥420.0|刹车-蹄片
|全能片(后)|别克|英朗 GT|1.6|2010/06-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|别克|英朗 GT|1.6T|2010/06-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|别克|英朗 GT|1.8|2010/06-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|雪佛兰|科鲁兹掀背车|1.6|2013/09-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|雪佛兰|科鲁兹掀背车|1.6T|2013/09-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|雪佛兰|科鲁兹|1.6|2009/04-2010/07|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|雪佛兰|科鲁兹|1.8|2009/04-2010/07|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|雪佛兰|科鲁兹|1.6T|2010/11-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|别克|英朗 XT|1.6|2010/02-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|别克|英朗 XT|1.6T|2010/02-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|别克|英朗 XT|1.8|2010/02-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|全能片(后)|别克|昂科拉|1.4T|2012/10-|¥115.0|¥150.0|¥300.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹掀背车|1.6|2013/09-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹掀背车|1.6T|2013/09-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹|1.6|2009/04-2010/07|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹|1.8|2009/04-2010/07|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹|1.6T|2010/11-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|科鲁兹|1.6|2015/06-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|雪佛兰|创酷|1.4T|2014/04-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|别克|英朗 XT|1.6|2010/02-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|别克|英朗 XT|1.6T|2010/02-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|别克|英朗 XT|1.8|2010/02-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|别克|英朗 GT|1.6|2010/06-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|别克|英朗 GT|1.6T|2010/06-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|别克|英朗 GT|1.8|2010/06-|¥135.0|¥180.0|¥360.0|刹车-蹄片
|陶瓷片(后)|别克|昂科拉|1.4T|2012/10-|¥135.0|¥180.0|¥360.0|刹车-蹄片
17"|陶瓷片(前)|雪佛兰|科鲁兹掀背车|1.6|2013/09-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|雪佛兰|科鲁兹掀背车|1.6T|2013/09-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|雪佛兰|科鲁兹|1.6|2009/04-2010/07|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|雪佛兰|科鲁兹|1.8|2009/04-2010/07|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|雪佛兰|科鲁兹|1.6T|2010/11-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|雪佛兰|科鲁兹|1.6|2015/06-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|雪佛兰|创酷|1.4T|2014/04-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|别克|英朗 XT|1.6|2010/02-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|别克|英朗 XT|1.6T|2010/02-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|别克|英朗 XT|1.8|2010/02-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|别克|英朗 GT|1.6|2010/06-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|别克|英朗 GT|1.6T|2010/06-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|别克|英朗 GT|1.8|2010/06-|¥165.0|¥210.0|¥420.0|刹车-蹄片
17"|陶瓷片(前)|别克|昂科拉|1.4T|2012/10-|¥165.0|¥210.0|¥420.0|刹车-蹄片
|欧标片(后)|保时捷|帕纳美娜|3.6|2010/05-|¥392.0|¥550.0|¥1,100.0|刹车-蹄片
|欧标片(前)|宝马|535Li(F18)|3.0|2010/08-|¥318.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|宝马|730Li(F01,F02,F03,F04)|3.0(190KW)|2009/08-|¥318.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|宝马|640i敞篷车(F12)|3.0|2011/03-|¥318.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|菲亚特|博悦|1.4T|2007.09-|¥225.0|¥290.0|¥580.0|刹车-蹄片
长度:109.8mm|欧标片(后)|奔驰|E63AMG(W212)|6.2|2009/12-|¥285.0|¥380.0|¥760.0|刹车-蹄片
|欧标片(前)|保时捷|911(997)|3.6GT2|2007/09-2012/12|¥410.0|¥570.0|¥1,140.0|刹车-蹄片
2010.01-|欧标片(前)|保时捷|911(997)|3.8GT3RS|2009/08-2011/12|¥410.0|¥570.0|¥1,140.0|刹车-蹄片
|欧标片(前)|保时捷|911敞篷车(997)|3.6Turbo|2007/09-2009/12|¥358.0|¥500.0|¥1,000.0|刹车-蹄片
|欧标片(后)|奥迪|A8(4H_)|3.0TFSI|2011/03-|¥340.0|¥470.0|¥940.0|刹车-蹄片
|欧标片(后)|奥迪|A8(4H_)|3.0TFSI|2011/03-|¥337.0|¥470.0|¥940.0|刹车-蹄片
|欧标片(后)|宝马|750LixDrive|4.4T|2015/10-|¥265.0|¥360.0|¥720.0|刹车-蹄片
|欧标片(后)|宝马|740Li(G12)|3.0T|2015/10-|¥265.0|¥360.0|¥720.0|刹车-蹄片
|欧标片(后)|宝马|640i敞篷车(F12)|3.0|2011/03-|¥265.0|¥360.0|¥720.0|刹车-蹄片
非运动悬架|欧标片(前)|迷你|Mini敞篷车(R57)|1.6Cooper|2009/03-|¥281.0|¥370.0|¥740.0|刹车-蹄片
非运动悬架|欧标片(前)|迷你|Mini(R56)|1.6Cooper|2006/10-|¥281.0|¥370.0|¥740.0|刹车-蹄片
四活塞用GDB1871|欧标片(前)|玛莎拉蒂|吉博力|3.0T|2013-|¥326.0|¥460.0|¥920.0|刹车-蹄片
PR-1KY/1KZ/2EE|欧标片(后)|大众|途锐(7P5)|3.0TSI|2010/08-|¥391.0|¥570.0|¥1,140.0|刹车-蹄片
PR-1KY/1KZ/2EE|欧标片(后)|大众|途锐(7P5)|3.0T|2015/09-|¥391.0|¥570.0|¥1,140.0|刹车-蹄片
PR-1KY/1KZ/2EE|欧标片(后)|保时捷|卡宴|3.0Hybird|2010/06-|¥391.0|¥570.0|¥1,140.0|刹车-蹄片
PR-1KY/1KZ/2EE|欧标片(后)|保时捷|卡宴|3.0L|2010/06-|¥391.0|¥570.0|¥1,140.0|刹车-蹄片
PR-1KP|欧标片(后)|保时捷|卡宴|3.0Hybird|2010/06-|¥360.0|¥500.0|¥1,000.0|刹车-蹄片
|欧标片(前)|奥迪|A6L(C7)|3.0TFSI|2012/03-|¥319.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|奥迪|S7Sportback(4GA)|4.0TFSIquattro|2012/02-|¥319.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|奥迪|A8(4H_)|3.0TFSI|2011/03-|¥319.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|奥迪|A7Sportback(4GA)|2.8FSIquattro|2010/10-|¥319.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|奥迪|A7Sportback(4GA)|3.0TFSIquattro|2010/10-|¥319.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(前)|奥迪|Q5(8R)|3.0|2013/05-|¥437.0|¥610.0|¥1,220.0|刹车-蹄片
|欧标片(前)|奥迪|A8(4H_)|4.0|2013/10-|¥437.0|¥610.0|¥1,220.0|刹车-蹄片
17"|欧标片(前)|大众|凯路威|2.0TSI4x2|2014/03-|¥288.0|¥380.0|¥760.0|刹车-蹄片
17"|欧标片(前)|大众|凯路威|2.0TSI4x4|2014/03-|¥288.0|¥380.0|¥760.0|刹车-蹄片
|欧标片(后)|宝马|X650i(E71,E72)|4.4|2009/10-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(后)|宝马|X6M(E71,E72)|4.4|2009/09-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(后)|宝马|X6M|4.4T|2015/04-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(后)|宝马|X5M(E70)|4.4|2009/09-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(后)|宝马|X5M|4.4T|2015/04-|¥291.0|¥390.0|¥780.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版(LW)|3.0|2013/04-|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版(LW)|3.0TD|2013/04-|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版(LS)|3.0TD|2009/09-|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|路虎|揽胜运动版|2.0T|2015/10-|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|路虎|揽胜IV(LG)|3.0T4x4|2013/10-|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|路虎|揽胜III(LM)|5.0V84x4|2009/09-2012/08|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|路虎|发现IV(LA)|3.0TD|2009/09-|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|路虎|发现IV(LA)|5.0V8|2009/09-|¥399.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(后)|奥迪|A6L(C7)|2.0TFSI|2012/03-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奥迪|A6L(C7)|2.5FSI|2012/03-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奥迪|A6L(C7)|2.8FSI|2012/03-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奥迪|A6L(C7)|3.0TFSI|2012/03-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奥迪|S7Sportback(4GA)|4.0TFSIquattro|2012/02-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奥迪|A7Sportback(4GA)|2.8FSIquattro|2010/10-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奥迪|A7Sportback(4GA)|3.0TFSIquattro|2010/10-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奥迪|A7(4GA;4GF)|2.0T|2015/09-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|保时捷|Macan|2.0T|2014/07-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|保时捷|Macan|3.0T|2014/02-|¥177.0|¥230.0|¥460.0|刹车-蹄片
|欧标片(后)|奔驰|SLS63AMG(C197)|6.2|2010/03-|¥318.0|¥450.0|¥900.0|刹车-蹄片
|欧标片(后)|奔驰|E63AMG(W212)|6.2|2009/12-|¥318.0|¥450.0|¥900.0|刹车-蹄片
高度:107.7mm|欧标片(前)|奔驰|SLS63AMG(C197)|6.2|2010/03-|¥481.0|¥670.0|¥1,340.0|刹车-蹄片
高度:107.7mm|欧标片(前)|奔驰|E63AMG(W212)|6.2|2009/12-|¥481.0|¥670.0|¥1,340.0|刹车-蹄片
400x38|欧标片(前)|奥迪|S7Sportback(4GA)|4.0TFSIquattro|2012/02-|¥362.0|¥510.0|¥1,020.0|刹车-蹄片
400x38|欧标片(前)|奥迪|A7Sportback(4GA)|2.8FSIquattro|2010/10-|¥362.0|¥510.0|¥1,020.0|刹车-蹄片
400x38|欧标片(前)|奥迪|A7Sportback(4GA)|3.0TFSIquattro|2010/10-|¥362.0|¥510.0|¥1,020.0|刹车-蹄片
|欧标片(前)|宝马|GT550i(F07)|4.4|2010/09-|¥410.0|¥570.0|¥1,140.0|刹车-蹄片
|欧标片(前)|宝马|760i(F01,F02,F03,F04)|6.0|2009/09-|¥410.0|¥570.0|¥1,140.0|刹车-蹄片
配套盘为 DF6695S(314X30)|欧标片(前)|大众|迈腾旅行版|2.0|2012-|¥253.0|¥330.0|¥660.0|刹车-蹄片
配套盘为 DF6695S(314X30)|欧标片(前)|大众|夏朗(7N)|1.8TSI|2013/01-|¥253.0|¥330.0|¥660.0|刹车-蹄片
配套盘为 DF6695S(314X30)|欧标片(前)|大众|夏朗(7N)|2.0TSI|2010/12-|¥253.0|¥330.0|¥660.0|刹车-蹄片
|欧标片(后)|奔驰|GLA260 4X4|2.0T|2015/04-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|GLA220 4X4|2.0T|2015/04-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|GLA200|1.6T|2015/04-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|SLK350(R172)|3.5|2011/02-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|GLA260 4matic|2.0T|2014/10-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|GLA200|1.6T|2014/10-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|B260(W246)|2.0T|2013/07-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|B200(W246)|1.6T|2011/12-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|B180(W246)|1.6T|2011/12-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|A260(W176)|2.0T|2013/04-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|A200(W176)|1.6T|2013/04-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(后)|奔驰|A180(W176)|1.6T|2013/04-|¥205.0|¥270.0|¥540.0|刹车-蹄片
|欧标片(前)|宝马|118i|1.5T|2015/12-|¥295.0|¥410.0|¥820.0|刹车-蹄片
|欧标片(前)|宝马|116i(F20)|1.6T|2010/12-|¥295.0|¥410.0|¥820.0|刹车-蹄片
BRE，不带ABS|欧标片(后)|菲亚特|菲跃|3.6|2013/04-|¥255.0|¥320.0|¥640.0|刹车-蹄片
|欧标片(后)|宝马|335Li(F30)|3.0T|2012/07-|¥253.0|¥330.0|¥660.0|刹车-蹄片
|欧标片(后)|宝马|435i xDrive|3.0T|2014/05-|¥253.0|¥330.0|¥660.0|刹车-蹄片
|欧标片(后)|宝马|435i|3.0T|2014/05-|¥253.0|¥330.0|¥660.0|刹车-蹄片
|欧标片(后)|宝马|335iGT|3.0T|2013/06-|¥253.0|¥330.0|¥660.0|刹车-蹄片
|欧标片(后)|福特|翼虎|1.6T|2013/01-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|翼虎|2.0T|2013/01-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|翼虎|1.6T|2013/01-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|翼虎|2.0T|2013/01-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|福睿斯|1.5|2014/12-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|福克斯|1.0T/1.5T|2015/07-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|新福克斯 两厢|1.6|2012/04-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|新福克斯 两厢|2.0|2012/04-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|新福克斯 三厢|1.6|2012/04-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|福特|新福克斯 三厢|2.0|2012/04-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|沃尔沃|V40|2.0T|2015/08-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(后)|沃尔沃|V40|1.5T|2015/08-|¥123.0|¥160.0|¥320.0|刹车-蹄片
|欧标片(前)|宝马|335Li(F30)|3.0T|2012/07-|¥360.0|¥500.0|¥1,000.0|刹车-蹄片
|欧标片(前)|宝马|335iGT|3.0T|2013/06-|¥360.0|¥500.0|¥1,000.0|刹车-蹄片
BRE，不带ABS|欧标片(前)|菲亚特|菲跃|3.6|2013/04-|¥220.0|¥300.0|¥600.0|刹车-蹄片
BRE，不带ABS|欧标片(前)|克莱斯勒|大捷龙|3.6T|2011/01-|¥220.0|¥300.0|¥600.0|刹车-蹄片
不含运动选装包|欧标片(前)|奔驰|ML400(W166)|3.0|2013/08-|¥423.0|¥600.0|¥1,200.0|刹车-蹄片
不含运动选装包|欧标片(前)|奔驰|GLE4004Matic|3.0T|2015/10-|¥423.0|¥600.0|¥1,200.0|刹车-蹄片
不含运动选装包|欧标片(前)|奔驰|GLE3204Matic|3.0T|2015/10-|¥423.0|¥600.0|¥1,200.0|刹车-蹄片
不含运动选装包|欧标片(前)|奔驰|GL500(X166)|4.7|2013/07-|¥423.0|¥600.0|¥1,200.0|刹车-蹄片
不含运动选装包|欧标片(前)|奔驰|GL400(X166)|3.0|2013/08-|¥423.0|¥600.0|¥1,200.0|刹车-蹄片
|欧标片(后)|奔驰|GLE4004Matic|3.0T|2015/10-|¥329.0|¥460.0|¥920.0|刹车-蹄片
|欧标片(后)|奔驰|GLE3204Matic|3.0T|2015/10-|¥329.0|¥460.0|¥920.0|刹车-蹄片
|欧标片(后)|奔驰|GL5004X4|4.0T4x4|2015/04-|¥329.0|¥460.0|¥920.0|刹车-蹄片
|欧标片(后)|奔驰|GL500(X166)|4.7T4MATIC|2013/07-|¥329.0|¥460.0|¥920.0|刹车-蹄片
|欧标片(后)|奔驰|GL400(X166)|3.0|2013/08-|¥329.0|¥460.0|¥920.0|刹车-蹄片
|欧标片(后)|奔驰|A45 AMG(W176)|2.0T|2015/11-|¥329.0|¥460.0|¥920.0|刹车-蹄片
适用盘直径316mm|欧标片(前)|迷你|Mini敞篷车(R57)|1.6CooperS|2009/03-|¥255.0|¥330.0|¥660.0|刹车-蹄片
适用盘直径316mm|欧标片(前)|迷你|Mini敞篷车(R57)|1.6Cooper|2009/03-|¥255.0|¥330.0|¥660.0|刹车-蹄片
适用盘直径316mm|欧标片(前)|迷你|Mini(R56)|1.6CooperS|2006/10-|¥255.0|¥330.0|¥660.0|刹车-蹄片
|欧标片(前)|宝马|535Li(F18)|3.0T|2013/06-|¥306.0|¥390.0|¥780.0|刹车-蹄片
含运动选装包|欧标片(前)|奔驰|GL500(X166)|4.7T4MATIC|2013/07-|¥423.0|¥590.0|¥1,180.0|刹车-蹄片
含运动选装包|欧标片(前)|奔驰|GL400(X166)|3.0|2013/08-|¥423.0|¥590.0|¥1,180.0|刹车-蹄片
|欧标片(前)|斯柯达|明锐(5E3)|1.6|2014/05-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|斯柯达|明锐(5E3)|1.4T|2014/05-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|奥迪|A3Sportback35 TFSI|1.4TFSI|2014/03-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|奥迪|A3Limousine35TFSI|1.4TFSI|2014/09-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|奥迪|A3Sportback40TFSISline|1.8TFSI|2014/03-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|奥迪|A3Limousine40 TFSI Sline|1.8TFSI|2014/03-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|大众|高尔夫R-Line(5G1)|1.4TSI|2015/06-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|大众|高尔夫(5G1)|1.4TSI|2013/12-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|大众|高尔夫(5G1)|1.6|2013/12-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|大众|高尔夫(5G1)|1.2T/2.0T|2015/04-|¥150.0|¥200.0|¥400.0|刹车-蹄片
|欧标片(前)|大众|凌渡330TSI|1.8T|2015/01-|¥150.0|¥200.0|¥400.0|刹车-蹄片
